Sigla;Codigo;Cidade;2020.03;2020.04;2020.05;2020.06;2020.07;2020.08;2020.09;2020.10;2020.11;2020.12;2021.01;2021.02;2021.03;2021.04;2021.05;2021.06;2021.07;2021.08
PR;4104204;Campo Largo;953;918;696;615;772;845;768;836;779;801;863;922;1080;814;923;894;1004;982
PR;4104253;Campo Magro;102;104;95;54;53;83;70;80;48;58;60;96;97;62;106;89;107;84
PR;4104303;Campo Mourão;666;676;548;543;497;655;599;622;559;711;685;748;752;611;698;770;838;884
PR;4104402;Cândido de Abreu;15;21;12;24;12;14;13;14;19;16;17;12;18;23;27;21;44;26
PR;4104428;Candói;53;70;46;37;67;41;48;51;46;38;60;51;72;54;87;64;79;69
PR;4104451;Cantagalo;25;20;23;12;29;25;19;24;19;28;24;36;30;33;22;35;43;41
PR;4104501;Capanema;171;134;96;92;132;140;142;170;229;176;146;192;159;144;141;139;184;185
PR;4104600;Capitão Leônidas Marques;91;134;92;75;80;72;82;116;121;137;89;105;135;125;137;124;148;133
PR;4104659;Carambeí;150;149;129;141;173;173;190;196;234;185;215;207;214;214;214;227;214;244
PR;4104709;Carlópolis;79;50;122;39;50;20;43;36;46;48;54;55;49;59;49;36;42;49
PR;4104808;Cascavel;4684;3988;3307;3097;3295;3957;4088;4624;4025;4251;4277;4786;5318;4351;4494;4742;4997;5320
PR;4104907;Castro;404;437;326;357;348;370;408;465;408;431;501;549;516;600;511;518;602;544
PR;4105003;Catanduvas;35;48;18;19;15;25;27;36;33;46;33;34;32;42;45;26;37;27
PR;4105102;Centenário do Sul;11;16;9;9;16;14;14;9;17;16;17;22;23;17;18;27;34;39
PR;4105201;Cerro Azul;2;4;8;4;4;5;5;4;5;2;6;8;7;9;10;10;15;9
PR;4105300;Céu Azul;99;76;44;63;51;86;86;95;57;77;91;96;115;97;73;95;100;85
PR;4105409;Chopinzinho;188;179;111;98;119;108;141;160;165;198;133;155;160;134;136;128;149;220
PR;4105508;Cianorte;917;879;588;501;513;639;613;628;550;663;725;817;780;715;656;715;742;899
PR;4105607;Cidade Gaúcha;86;39;40;35;59;56;80;72;50;122;62;79;83;55;58;64;61;97
PR;4105706;Clevelândia;62;56;58;41;38;40;47;66;55;41;49;74;84;69;97;63;76;81
PR;4105805;Colombo;1561;1525;1074;1131;963;1091;1111;1207;1114;1486;1338;1632;1708;1332;1433;1447;1379;1579
PR;4105904;Colorado;128;121;137;78;89;92;81;105;406;120;145;119;148;118;110;112;106;214
PR;4106001;Congonhinhas;6;12;5;5;6;11;8;15;13;14;15;19;13;9;12;8;8;12
PR;4106100;Conselheiro Mairinck;3;3;3;1;2;1;4;6;3;2;4;5;6;5;4;1;2;4
PR;4106209;Contenda;39;64;120;40;45;35;40;32;33;35;48;57;68;92;129;73;83;63
PR;4106308;Corbélia;76;98;57;60;62;82;114;73;110;111;93;109;122;87;80;81;105;112
PR;4106407;Cornélio Procópio;698;480;503;410;449;443;506;371;402;490;520;435;659;509;525;465;502;660
PR;4106456;Coronel Domingos Soares;27;24;10;21;34;23;31;41;36;32;43;38;55;35;57;33;40;43
PR;4106506;Coronel Vivida;167;214;79;86;85;114;140;180;158;146;159;173;194;165;174;191;202;194
PR;4106555;Corumbataí do Sul;53;0;0;2;1;1;1;2;1;4;3;3;9;8;5;8;2;3
PR;4106571;Cruzeiro do Iguaçu;11;24;8;10;7;8;14;11;15;20;16;25;19;27;22;24;25;29
